state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Rupnagar,2017,0,2017-10-01,2017-10-06,0.2664965008997452,0.2582447372648271,0.2954325641653206,0.1036881078084947,4,0.005025,valid
Punjab,Rupnagar,2017,1,2017-10-06,2017-10-11,0.2541600362645967,0.2454025136731494,0.2829134872673445,0.1156790998436389,4,0.0,valid
Punjab,Rupnagar,2017,2,2017-10-11,2017-10-16,0.2280364524308952,0.2271410343224522,0.2560632835508216,0.131083952662851,2,0.0,valid
Punjab,Rupnagar,2017,3,2017-10-16,2017-10-21,0.220998268016471,0.2138967412469626,0.2446989137032735,0.1344045073112701,2,0.0,valid
Punjab,Rupnagar,2017,4,2017-10-21,2017-10-26,0.2170886547094765,0.2128780864841526,0.2393140727738721,0.1502640400675128,4,0.875325,valid
Punjab,Rupnagar,2017,5,2017-10-26,2017-10-31,0.2139759394707778,0.2056295767651464,0.2311553861798896,0.1509238715361014,4,0.159025,valid
Punjab,Rupnagar,2017,6,2017-10-31,2017-11-05,0.2100275634027717,0.1989162624967798,0.2231916436225145,0.1469979102013913,4,0.0,valid
Punjab,Rupnagar,2017,7,2017-11-05,2017-11-10,0.1895191480356592,0.1791813381400736,0.1999935083166348,0.1353840046937032,1,0.0,valid
Punjab,Rupnagar,2017,8,2017-11-10,2017-11-15,0.1931597635471955,0.1845608932740692,0.2041477199653985,0.1463371997584874,2,13.78145,valid
Punjab,Rupnagar,2017,9,2017-11-15,2017-11-20,0.1798260931213847,0.1737475236148586,0.1901888770620071,0.144622959399808,2,0.57145,valid
Punjab,Rupnagar,2017,10,2017-11-20,2017-11-25,0.1876776528047195,0.1823623124244706,0.1999134571045353,0.1573555086046272,4,0.0,valid
Punjab,Rupnagar,2017,11,2017-11-25,2017-11-30,0.180511565286779,0.1726290377091896,0.1906142660376482,0.1430868992490626,2,0.0,valid
Punjab,Rupnagar,2017,12,2017-11-30,2017-12-05,0.1907420213726995,0.1853384653817366,0.2027963758652902,0.1553669580858631,2,0.0,valid
Punjab,Rupnagar,2017,13,2017-12-05,2017-12-10,0.2006977473446629,0.1913088260290499,0.2122419802283816,0.1505942844832607,4,1.884325,valid
Punjab,Rupnagar,2017,14,2017-12-10,2017-12-15,0.20581880517369833,0.19731592099607706,0.21664306952188273,0.1292932528405836,0,,missing_bands
Punjab,Rupnagar,2017,15,2017-12-15,2017-12-20,0.2002851180069958,0.1923692406916826,0.2098106265248568,0.1002059782348229,2,2.4234,valid
Punjab,Rupnagar,2017,16,2017-12-20,2017-12-25,0.231632623822186,0.2208497276903381,0.2427913591348582,0.1305873596662778,1,28.2886,valid
