state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Jalandhar,2010,0,2010-10-01,2010-10-06,0.0834913797066702,0.2864200394998237,0.1906517160669571,0.1129974231756445,4,1.5,valid
Punjab,Jalandhar,2010,1,2010-10-06,2010-10-11,0.13331933919471747,0.28467223247426815,0.22088805316613544,0.1389495601187415,0,,insufficient_data
Punjab,Jalandhar,2010,2,2010-10-11,2010-10-16,0.1521032549243497,0.3008899391994671,0.2258472467689938,0.1369563357976236,1,0.0,valid
Punjab,Jalandhar,2010,3,2010-10-16,2010-10-21,0.1643633829531325,0.2667067187235136,0.2461651966624554,0.1668949213829564,2,3.0,valid
Punjab,Jalandhar,2010,4,2010-10-21,2010-10-26,0.1341587774112998,0.24060970319483993,0.2276317949872913,0.15826813642262072,0,,insufficient_data
Punjab,Jalandhar,2010,5,2010-10-26,2010-10-31,0.1120982643017325,0.2067195748110183,0.229254591854205,0.1650700218084641,3,0.3333333333333333,valid
Punjab,Jalandhar,2010,6,2010-10-31,2010-11-05,0.1080702074659845,0.1881225800453607,0.2092601446635109,0.1641512667014388,2,0.0,valid
Punjab,Jalandhar,2010,7,2010-11-05,2010-11-10,0.11441847561756066,0.19805325843150734,0.21566592368668794,0.1680861544978122,0,,insufficient_data
Punjab,Jalandhar,2010,8,2010-11-10,2010-11-15,0.1095576348888916,0.1884376702437008,0.2138863251039019,0.1686988789759589,3,1.0,valid
Punjab,Jalandhar,2010,9,2010-11-15,2010-11-20,0.127947795813634,0.2089332086259495,0.2102626331251339,0.1744244505053869,2,15.0,valid
Punjab,Jalandhar,2010,10,2010-11-20,2010-11-25,0.10568259025439489,0.205750641012937,0.2046277253788475,0.16117742080995073,0,,insufficient_data
Punjab,Jalandhar,2010,11,2010-11-25,2010-11-30,0.0959502515494827,0.2041017580310731,0.206289582630628,0.1582794976087588,3,0.6666666666666666,valid
Punjab,Jalandhar,2010,12,2010-11-30,2010-12-05,0.10261002812134035,0.21691519075289684,0.19526930288328775,0.14823187749630007,0,,insufficient_data
Punjab,Jalandhar,2010,13,2010-12-05,2010-12-10,0.0892746787655713,0.2215299271510246,0.1880723606557262,0.1433068561496983,3,0.3333333333333333,valid
Punjab,Jalandhar,2010,14,2010-12-10,2010-12-15,0.0972673863566734,0.2330958692035401,0.1764526351216629,0.1169167057213563,2,2.0,valid
Punjab,Jalandhar,2010,15,2010-12-15,2010-12-20,0.09096662558826242,0.23294071218680357,0.17457898128203428,0.12110176930228357,0,,insufficient_data
Punjab,Jalandhar,2010,16,2010-12-20,2010-12-25,0.0863578116425426,0.244196340205846,0.1592119480687137,0.1030817460357961,2,0.0,valid
Punjab,Jalandhar,2010,17,2010-12-25,2010-12-30,0.091812598999608,0.23864610470469305,0.1678322915951883,0.1099992258785762,0,,insufficient_data
Punjab,Jalandhar,2010,18,2010-12-30,2011-01-04,0.07412016850004464,0.27720031476856233,0.16103528499030814,0.0931635044115925,0,,insufficient_data
Punjab,Jalandhar,2010,19,2011-01-04,2011-01-09,0.06518232594874226,0.2938511930823903,0.1542813549981261,0.08455389878715658,0,,insufficient_data
Punjab,Jalandhar,2010,20,2011-01-09,2011-01-14,0.0545945831018421,0.31867861952066256,0.1518160584628323,0.07528997516283681,0,,insufficient_data
Punjab,Jalandhar,2010,21,2011-01-14,2011-01-19,0.0618825253575467,0.3102042893312787,0.1628586219119026,0.0832452627873889,1,12.0,valid
Punjab,Jalandhar,2010,22,2011-01-19,2011-01-24,0.0473066408461375,0.3271529497100464,0.140773495013762,0.0673346875382847,1,0.0,valid
Punjab,Jalandhar,2010,23,2011-01-24,2011-01-29,0.05843819437809762,0.34363475348401556,0.14555013771389752,0.07012258607155103,0,,insufficient_data
Punjab,Jalandhar,2010,24,2011-01-29,2011-02-03,0.0820227174626812,0.3369032554499312,0.1512720959400566,0.0763245508351161,1,2.0,valid
Punjab,Jalandhar,2010,25,2011-02-03,2011-02-08,0.0572900840516146,0.3547782415349279,0.13978064298122916,0.06574836049960507,0,,insufficient_data
Punjab,Jalandhar,2010,26,2011-02-08,2011-02-13,0.0425408938460251,0.4002785194448059,0.1272963379898689,0.0535858431254144,2,9.0,valid
Punjab,Jalandhar,2010,27,2011-02-13,2011-02-18,0.06228180565435315,0.36859088744736856,0.13928421696496274,0.06495519698026525,0,,insufficient_data
Punjab,Jalandhar,2010,28,2011-02-18,2011-02-23,0.0425408938460251,0.4002785194448059,0.1272963379898689,0.0535858431254144,0,,insufficient_data
Punjab,Jalandhar,2010,29,2011-02-23,2011-02-28,0.04935151326764635,0.36868750518665805,0.14453635703287449,0.0784109404316662,0,,insufficient_data
Punjab,Jalandhar,2010,30,2011-02-28,2011-03-05,0.0561621326892676,0.3370964909285102,0.1617763760758801,0.103236037737918,0,,insufficient_data
Punjab,Jalandhar,2010,31,2011-03-05,2011-03-10,0.0610926102209709,0.3221054068968766,0.15485375463015222,0.09379430517649015,0,,insufficient_data
Punjab,Jalandhar,2010,32,2011-03-10,2011-03-15,0.0561621326892676,0.3370964909285102,0.1617763760758801,0.103236037737918,4,2.5,valid
Punjab,Jalandhar,2010,33,2011-03-15,2011-03-20,0.0682322625178952,0.29834586534995117,0.15847592315788844,0.09967793567561593,0,,insufficient_data
Punjab,Jalandhar,2010,34,2011-03-20,2011-03-25,0.0660230877526742,0.3071143228652431,0.1479311331844243,0.0843525726150623,1,2.0,valid
Punjab,Jalandhar,2010,35,2011-03-25,2011-03-30,0.0825115671117438,0.2508267822561004,0.1657202602133609,0.1114451966738675,2,1.0,valid
Punjab,Jalandhar,2010,36,2011-03-30,2011-04-04,0.08811063794981228,0.2495313870466567,0.1656608180873014,0.10721701808783596,0,,insufficient_data
Punjab,Jalandhar,2010,37,2011-04-04,2011-04-09,0.1002434995459077,0.2281721692717606,0.173476071757015,0.1161978833008496,1,4.0,valid
Punjab,Jalandhar,2010,38,2011-04-09,2011-04-14,0.1036643973889234,0.2120122737935227,0.1755158071944054,0.1168724197615645,1,26.0,valid
Punjab,Jalandhar,2010,39,2011-04-14,2011-04-19,0.10326828548061473,0.21376047123574646,0.1855721295059717,0.1269552505925261,0,,insufficient_data
Punjab,Jalandhar,2010,40,2011-04-19,2011-04-24,0.1058969595070131,0.2010969706419561,0.2077245095664948,0.1477954487151642,3,0.6666666666666666,valid
Punjab,Jalandhar,2010,41,2011-04-24,2011-04-29,0.10478067844796825,0.2065546222177394,0.1916201583804501,0.13233393423836434,0,,insufficient_data
Punjab,Jalandhar,2010,42,2011-04-29,2011-05-04,0.1058969595070131,0.2010969706419561,0.2077245095664948,0.1477954487151642,0,,insufficient_data
Punjab,Jalandhar,2011,0,2011-10-01,2011-10-06,0.1294265521428536,0.2565832871163185,0.2415346476168486,0.1626700428467821,0,,insufficient_data
Punjab,Jalandhar,2011,1,2011-10-06,2011-10-11,0.12867440038633798,0.2443816060336717,0.24387984833380066,0.17178704903562214,0,,insufficient_data
Punjab,Jalandhar,2011,2,2011-10-11,2011-10-16,0.1294265521428536,0.2565832871163185,0.2415346476168486,0.1626700428467821,1,7.0,valid
Punjab,Jalandhar,2011,3,2011-10-16,2011-10-21,0.12322300175603508,0.21829031765018833,0.22488138935103796,0.16668509772244,0,,insufficient_data
Punjab,Jalandhar,2011,4,2011-10-21,2011-10-26,0.1279222486298224,0.2321799249510249,0.2462250490507527,0.1809040552244622,3,1.6666666666666667,valid
Punjab,Jalandhar,2011,5,2011-10-26,2011-10-31,0.1123202044954293,0.1661077408832216,0.1868844713855125,0.1564811950960757,1,0.0,valid
Punjab,Jalandhar,2011,6,2011-10-31,2011-11-05,0.11222879908958268,0.1896552458255389,0.20637575021265464,0.16538567249826336,0,,insufficient_data
Punjab,Jalandhar,2011,7,2011-11-05,2011-11-10,0.1040244479583292,0.1787795153622865,0.1983657196225233,0.1589273834967889,2,0.5,valid
Punjab,Jalandhar,2011,8,2011-11-10,2011-11-15,0.1046482952747498,0.1815538021056225,0.19402776079183,0.1652300561757266,2,8.5,valid
Punjab,Jalandhar,2011,9,2011-11-15,2011-11-20,0.11493638490029016,0.18758430864133305,0.1954502865863045,0.16103352436667961,0,,insufficient_data
Punjab,Jalandhar,2011,10,2011-11-20,2011-11-25,0.1361364114677915,0.2024196084560902,0.1939573793445602,0.1589431334275234,2,14.0,valid
Punjab,Jalandhar,2011,11,2011-11-25,2011-11-30,0.11718231532674228,0.2015509769406134,0.18761116500852063,0.14749723537335546,0,,insufficient_data
Punjab,Jalandhar,2011,12,2011-11-30,2011-12-05,0.10725355150102978,0.226952790804433,0.17932060356793333,0.12902896279606288,0,,insufficient_data
Punjab,Jalandhar,2011,13,2011-12-05,2011-12-10,0.1107622392376855,0.2206795202601275,0.1748483548891717,0.1183185165168164,2,10.0,valid
Punjab,Jalandhar,2011,14,2011-12-10,2011-12-15,0.08173389481119796,0.25223410686074516,0.16430249886827827,0.10539445040941064,0,,insufficient_data
Punjab,Jalandhar,2011,15,2011-12-15,2011-12-20,0.0748620037976123,0.2577592436970813,0.1691560764700682,0.1098252384438489,2,8.5,valid
Punjab,Jalandhar,2011,16,2011-12-20,2011-12-25,0.0595774413982961,0.2782635566250266,0.1489030652455949,0.0880395962675666,1,25.0,valid
Punjab,Jalandhar,2011,17,2011-12-25,2011-12-30,0.11135153801266455,0.28499625906204334,0.17167063327659868,0.10657220098584072,0,,insufficient_data
Punjab,Jalandhar,2011,18,2011-12-30,2012-01-04,0.2482412547525616,0.3270074089477283,0.2373574010624032,0.1599440212449342,2,14.5,valid
Punjab,Jalandhar,2011,19,2012-01-04,2012-01-09,0.20052948001322674,0.3316935260810308,0.21394218461335907,0.1415404357891016,0,,insufficient_data
Punjab,Jalandhar,2011,20,2012-01-09,2012-01-14,0.0627254521021882,0.2769548269783372,0.1312659903283284,0.0684799479870132,2,2.0,valid
Punjab,Jalandhar,2011,21,2012-01-14,2012-01-19,0.4315737717998611,0.4445483117730312,0.3382422818171098,0.2496981776568924,1,21.0,valid
Punjab,Jalandhar,2011,22,2012-01-19,2012-01-24,0.17821338130778722,0.34132365579134527,0.20379458775935508,0.13112272481632536,0,,insufficient_data
Punjab,Jalandhar,2011,23,2012-01-24,2012-01-29,0.0403409200213123,0.3024678286226675,0.141875491132627,0.0751900488050705,1,8.0,valid
Punjab,Jalandhar,2011,24,2012-01-29,2012-02-03,0.176211547286817,0.35160107061637746,0.2132889929254768,0.14160619490794216,0,,insufficient_data
Punjab,Jalandhar,2011,25,2012-02-03,2012-02-08,0.048530435030295,0.30512745003805064,0.1508123484796603,0.08756020353346705,0,,insufficient_data
Punjab,Jalandhar,2011,26,2012-02-08,2012-02-13,0.0567199500392777,0.3077870714534337,0.1597492058266936,0.0999303582618636,2,1.0,valid
Punjab,Jalandhar,2011,27,2012-02-13,2012-02-18,0.05539393598143605,0.31270579216381533,0.15981177451991674,0.1018129798448497,0,,insufficient_data
Punjab,Jalandhar,2011,28,2012-02-18,2012-02-23,0.06996073221975846,0.3274695079753707,0.1606555945029358,0.09941490781827234,1,11.0,missing_bands
Punjab,Jalandhar,2011,29,2012-02-23,2012-02-28,0.0540679219235944,0.317624512874197,0.1598743432131399,0.1036956014278358,2,1.5,valid
Punjab,Jalandhar,2011,30,2012-02-28,2012-03-04,0.06886395849309086,0.32686473354045503,0.1536265770211689,0.09282983309461272,0,,insufficient_data
Punjab,Jalandhar,2011,31,2012-03-04,2012-03-09,0.0990943246964033,0.3569969395984815,0.1623432344689739,0.0946187637651176,2,10.5,valid
Punjab,Jalandhar,2011,32,2012-03-09,2012-03-14,0.0534296288592749,0.3059727481486864,0.1386621533813929,0.0801751340908847,2,4.0,valid
Punjab,Jalandhar,2011,33,2012-03-14,2012-03-19,0.08108624732271974,0.3106684424506553,0.1560962769954039,0.09659692078737253,0,,insufficient_data
Punjab,Jalandhar,2011,34,2012-03-19,2012-03-24,0.0977229783639562,0.3220010652306018,0.1632596570562342,0.1033234756145641,2,2.5,valid
Punjab,Jalandhar,2011,35,2012-03-24,2012-03-29,0.07951917489921859,0.2754630934311487,0.15760814792658573,0.1019672975698569,0,,insufficient_data
Punjab,Jalandhar,2011,36,2012-03-29,2012-04-03,0.0740980573712446,0.2577030168248514,0.1601200630750146,0.1082703096789237,2,7.0,valid
Punjab,Jalandhar,2011,37,2012-04-03,2012-04-08,0.0928260350023987,0.2161755435204551,0.1683907181937012,0.1161002708950551,1,6.0,valid
Punjab,Jalandhar,2011,38,2012-04-08,2012-04-13,0.10015183153084879,0.22821745067122,0.18714767976935778,0.13091809499705154,0,,insufficient_data
Punjab,Jalandhar,2011,39,2012-04-13,2012-04-18,0.10015183153084879,0.22821745067122,0.18714767976935778,0.13091809499705154,0,,insufficient_data
