test_year,normal,feature_set,model,train_rows,test_rows,train_year_max,features
2018,mean5,history,state_ridge_100p0,833,119,2017,18
2018,mean5,physical,ridge_100p0,833,119,2017,78
2018,mean5,physical,ridge_1000p0,833,119,2017,78
2018,mean5,physical,huber_10p0,833,119,2017,78
2018,mean5,physical,extra_3p0,833,119,2017,78
2018,mean5,physical,xgb_1p0,833,119,2017,78
2018,mean5,physical,xgb_2p0,833,119,2017,78
2018,mean5,physical,state_ridge_100p0,833,119,2017,78
2018,mean5,modis,ridge_100p0,833,119,2017,78
2018,mean5,modis,ridge_1000p0,833,119,2017,78
2018,mean5,modis,huber_10p0,833,119,2017,78
2018,mean5,modis,extra_3p0,833,119,2017,78
2018,mean5,modis,xgb_1p0,833,119,2017,78
2018,mean5,modis,xgb_2p0,833,119,2017,78
2018,mean5,modis,state_ridge_100p0,833,119,2017,78
2018,mean5,physical_modis,ridge_100p0,833,119,2017,138
2018,mean5,physical_modis,ridge_1000p0,833,119,2017,138
2018,mean5,physical_modis,huber_10p0,833,119,2017,138
2018,mean5,physical_modis,extra_3p0,833,119,2017,138
2018,mean5,physical_modis,xgb_1p0,833,119,2017,138
2018,mean5,physical_modis,xgb_2p0,833,119,2017,138
2018,mean5,physical_modis,state_ridge_100p0,833,119,2017,138
2018,median5,history,ridge_100p0,833,119,2017,18
2018,median5,history,ridge_1000p0,833,119,2017,18
2018,median5,history,huber_10p0,833,119,2017,18
2018,median5,history,extra_3p0,833,119,2017,18
2018,median5,history,xgb_1p0,833,119,2017,18
2018,median5,history,xgb_2p0,833,119,2017,18
2018,median5,history,state_ridge_100p0,833,119,2017,18
2018,median5,physical,ridge_100p0,833,119,2017,78
2018,median5,physical,ridge_1000p0,833,119,2017,78
2018,median5,physical,huber_10p0,833,119,2017,78
2018,median5,physical,extra_3p0,833,119,2017,78
2018,median5,physical,xgb_1p0,833,119,2017,78
2018,median5,physical,xgb_2p0,833,119,2017,78
2018,median5,physical,state_ridge_100p0,833,119,2017,78
2018,median5,modis,ridge_100p0,833,119,2017,78
2018,median5,modis,ridge_1000p0,833,119,2017,78
2018,median5,modis,huber_10p0,833,119,2017,78
2018,median5,modis,extra_3p0,833,119,2017,78
2018,median5,modis,xgb_1p0,833,119,2017,78
2018,median5,modis,xgb_2p0,833,119,2017,78
2018,median5,modis,state_ridge_100p0,833,119,2017,78
2018,median5,physical_modis,ridge_100p0,833,119,2017,138
2018,median5,physical_modis,ridge_1000p0,833,119,2017,138
2018,median5,physical_modis,huber_10p0,833,119,2017,138
2018,median5,physical_modis,extra_3p0,833,119,2017,138
2018,median5,physical_modis,xgb_1p0,833,119,2017,138
2018,median5,physical_modis,xgb_2p0,833,119,2017,138
2018,median5,physical_modis,state_ridge_100p0,833,119,2017,138
2018,trend5,history,ridge_100p0,595,119,2017,18
2018,trend5,history,ridge_1000p0,595,119,2017,18
2018,trend5,history,huber_10p0,595,119,2017,18
2018,trend5,history,extra_3p0,595,119,2017,18
2018,trend5,history,xgb_1p0,595,119,2017,18
2018,trend5,history,xgb_2p0,595,119,2017,18
2018,trend5,history,state_ridge_100p0,595,119,2017,18
2018,trend5,physical,ridge_100p0,595,119,2017,78
2018,trend5,physical,ridge_1000p0,595,119,2017,78
2018,trend5,physical,huber_10p0,595,119,2017,78
2018,trend5,physical,extra_3p0,595,119,2017,78
2018,trend5,physical,xgb_1p0,595,119,2017,78
2018,trend5,physical,xgb_2p0,595,119,2017,78
2018,trend5,physical,state_ridge_100p0,595,119,2017,78
2018,trend5,modis,ridge_100p0,595,119,2017,78
2018,trend5,modis,ridge_1000p0,595,119,2017,78
2018,trend5,modis,huber_10p0,595,119,2017,78
2018,trend5,modis,extra_3p0,595,119,2017,78
2018,trend5,modis,xgb_1p0,595,119,2017,78
2018,trend5,modis,xgb_2p0,595,119,2017,78
2018,trend5,modis,state_ridge_100p0,595,119,2017,78
2018,trend5,physical_modis,ridge_100p0,595,119,2017,138
2018,trend5,physical_modis,ridge_1000p0,595,119,2017,138
2018,trend5,physical_modis,huber_10p0,595,119,2017,138
2018,trend5,physical_modis,extra_3p0,595,119,2017,138
2018,trend5,physical_modis,xgb_1p0,595,119,2017,138
2018,trend5,physical_modis,xgb_2p0,595,119,2017,138
2018,trend5,physical_modis,state_ridge_100p0,595,119,2017,138
2018,ewma5,history,ridge_100p0,833,119,2017,18
2018,ewma5,history,ridge_1000p0,833,119,2017,18
2018,ewma5,history,huber_10p0,833,119,2017,18
2018,ewma5,history,extra_3p0,833,119,2017,18
2018,ewma5,history,xgb_1p0,833,119,2017,18
2018,ewma5,history,xgb_2p0,833,119,2017,18
2018,ewma5,history,state_ridge_100p0,833,119,2017,18
2018,ewma5,physical,ridge_100p0,833,119,2017,78
2018,ewma5,physical,ridge_1000p0,833,119,2017,78
2018,ewma5,physical,huber_10p0,833,119,2017,78
2018,ewma5,physical,extra_3p0,833,119,2017,78
2018,ewma5,physical,xgb_1p0,833,119,2017,78
2018,ewma5,physical,xgb_2p0,833,119,2017,78
2018,ewma5,physical,state_ridge_100p0,833,119,2017,78
2018,ewma5,modis,ridge_100p0,833,119,2017,78
2018,ewma5,modis,ridge_1000p0,833,119,2017,78
2018,ewma5,modis,huber_10p0,833,119,2017,78
2018,ewma5,modis,extra_3p0,833,119,2017,78
2018,ewma5,modis,xgb_1p0,833,119,2017,78
2018,ewma5,modis,xgb_2p0,833,119,2017,78
2018,ewma5,modis,state_ridge_100p0,833,119,2017,78
2018,ewma5,physical_modis,ridge_100p0,833,119,2017,138
2018,ewma5,physical_modis,ridge_1000p0,833,119,2017,138
2018,ewma5,physical_modis,huber_10p0,833,119,2017,138
2018,ewma5,physical_modis,extra_3p0,833,119,2017,138
2018,ewma5,physical_modis,xgb_1p0,833,119,2017,138
